Day,0.0bxm_0.0otv_1.0znv,0.0bxm_0.1otv_0.9znv,0.0bxm_0.2otv_0.8znv,0.0bxm_0.3otv_0.7znv,0.0bxm_0.4otv_0.6znv,0.0bxm_0.5otv_0.5znv,0.0bxm_0.6otv_0.4znv,0.0bxm_0.7otv_0.3znv,0.0bxm_0.8otv_0.2znv,0.0bxm_0.9otv_0.1znv,0.0bxm_1.0otv_0.0znv,0.1bxm_0.0otv_0.9znv,0.1bxm_0.1otv_0.8znv,0.1bxm_0.2otv_0.7znv,0.1bxm_0.3otv_0.6znv,0.1bxm_0.4otv_0.5znv,0.1bxm_0.5otv_0.4znv,0.1bxm_0.6otv_0.3znv,0.1bxm_0.7otv_0.2znv,0.1bxm_0.8otv_0.1znv,0.1bxm_0.9otv_0.0znv,0.2bxm_0.0otv_0.8znv,0.2bxm_0.1otv_0.7znv,0.2bxm_0.2otv_0.6znv,0.2bxm_0.3otv_0.5znv,0.2bxm_0.4otv_0.4znv,0.2bxm_0.5otv_0.3znv,0.2bxm_0.6otv_0.2znv,0.2bxm_0.7otv_0.1znv,0.2bxm_0.8otv_0.0znv,0.3bxm_0.0otv_0.7znv,0.3bxm_0.1otv_0.6znv,0.3bxm_0.2otv_0.5znv,0.3bxm_0.3otv_0.4znv,0.3bxm_0.4otv_0.3znv,0.3bxm_0.5otv_0.2znv,0.3bxm_0.6otv_0.1znv,0.3bxm_0.7otv_0.0znv,0.4bxm_0.0otv_0.6znv,0.4bxm_0.1otv_0.5znv,0.4bxm_0.2otv_0.4znv,0.4bxm_0.3otv_0.3znv,0.4bxm_0.4otv_0.2znv,0.4bxm_0.5otv_0.1znv,0.4bxm_0.6otv_0.0znv,0.5bxm_0.0otv_0.5znv,0.5bxm_0.1otv_0.4znv,0.5bxm_0.2otv_0.3znv,0.5bxm_0.3otv_0.2znv,0.5bxm_0.4otv_0.1znv,0.5bxm_0.5otv_0.0znv,0.6bxm_0.0otv_0.4znv,0.6bxm_0.1otv_0.3znv,0.6bxm_0.2otv_0.2znv,0.6bxm_0.3otv_0.1znv,0.6bxm_0.4otv_0.0znv,0.7bxm_0.0otv_0.3znv,0.7bxm_0.1otv_0.2znv,0.7bxm_0.2otv_0.1znv,0.7bxm_0.3otv_0.0znv,0.8bxm_0.0otv_0.2znv,0.8bxm_0.1otv_0.1znv,0.8bxm_0.2otv_-0.0znv,0.9bxm_0.0otv_0.1znv,0.9bxm_0.1otv_-0.0znv,1.0bxm_0.0otv_0.0znv
0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
1,0.9000011279653133,0.9000011278653616,0.9000011277653527,0.9000011276653697,0.9000011275653953,0.9000011274653967,0.9000011273654074,0.9000011272654095,0.9000011271654095,0.9000011270654359,0.9000011269654224,0.9000011277309963,0.9000011276309916,0.9000011275310131,0.9000011274310429,0.9000011273310485,0.9000011272310636,0.9000011271310989,0.9000011270311202,0.9000011269311394,0.9000011268311852,0.9000011274966722,0.9000011273966979,0.9000011272967321,0.9000011271967421,0.9000011270967668,0.900001126996801,0.9000011268968553,0.9000011267968958,0.9000011266969344,0.9000011272624242,0.9000011271624627,0.900001127062477,0.9000011269625062,0.9000011268625446,0.9000011267626032,0.9000011266626765,0.9000011265627365,0.9000011270282346,0.9000011269282534,0.9000011268283123,0.9000011267283602,0.900001126628423,0.9000011265284987,0.9000011264285628,0.9000011267940967,0.9000011266941343,0.9000011265941867,0.9000011264942539,0.9000011263943357,0.9000011262944324,0.900001126559998,0.9000011264600548,0.9000011263601262,0.9000011262602124,0.9000011261603134,0.9000011263259254,0.9000011262260014,0.9000011261260922,0.9000011260261975,0.9000011260919125,0.9000011259920075,0.9000011258921174,0.900001125857976,0.9000011257580903,0.9000011256240719
2,0.900001917135138,0.9000019163640547,0.9000019155936518,0.900001914823945,0.9000019140556069,0.9000019132936611,0.9000019125280136,0.9000019117609763,0.9000019109949949,0.9000019102297147,0.9000019094652635,0.9000019151476647,0.9000019143774768,0.9000019136079848,0.9000019128397339,0.9000019120744975,0.9000019113108016,0.9000019105460556,0.9000019097802132,0.900001909015118,0.9000019082507059,0.9000019131646386,0.9000019123965731,0.9000019116313419,0.9000019108664141,0.900001910101178,0.9000019093347585,0.9000019085690638,0.9000019078041385,0.9000019070399603,0.9000019111934817,0.9000019104250924,0.9000019096574927,0.9000019088905988,0.9000019081243918,0.9000019073589091,0.9000019065941316,0.900001905830123,0.9000019092159022,0.9000019084485154,0.9000019076819218,0.9000019069159461,0.9000019061506755,0.900001905386104,0.900001904622143,0.9000019072416165,0.9000019064751482,0.900001905709385,0.9000019049443267,0.9000019041799734,0.9000019034167376,0.9000019052708167,0.9000019045052631,0.9000019037404142,0.9000019029768218,0.9000019022141594,0.900001903304566,0.9000019025400586,0.9000019017762538,0.9000019010133867,0.9000019013421198,0.9000019005785487,0.9000018998156807,0.9000018993843668,0.9000018986217359,0.9000018974550876
3,0.9000025274417522,0.9000025252207013,0.9000025230053278,0.9000025207952443,0.9000025185905842,0.9000025163977748,0.9000025142027883,0.9000025120136346,0.9000025098305676,0.9000025076530804,0.9000025054813207,0.9000025211630711,0.9000025189494376,0.9000025167411086,0.9000025145382905,0.900002512343982,0.9000025101549751,0.9000025079671449,0.9000025057858743,0.9000025036100654,0.9000025014394667,0.900002514913388,0.9000025127073943,0.9000025105116314,0.9000025083179976,0.9000025061256104,0.9000025039403174,0.9000025017604799,0.9000024995863193,0.9000024974177019,0.9000025086927532,0.9000025064928691,0.9000025042987579,0.9000025021099582,0.9000024999263239,0.9000024977481343,0.9000024955752441,0.9000024934080104,0.9000025024902267,0.9000025002977756,0.9000024981112762,0.900002495929436,0.9000024937528935,0.9000024915815986,0.9000024894148825,0.9000024963140763,0.9000024941285855,0.9000024919483908,0.9000024897734876,0.9000024876038722,0.900002485440339,0.9000024901629945,0.9000024879847571,0.9000024858118032,0.9000024836453042,0.9000024814845998,0.9000024840449424,0.9000024818737457,0.9000024797078264,0.9000024775480044,0.9000024779518899,0.9000024757875363,0.9000024736286278,0.9000024718224706,0.9000024696645594,0.9000024658725628
4,0.900003034531872,0.9000030300382644,0.9000030255756305,0.9000030211325839,0.9000030167041401,0.9000030122594036,0.9000030078712312,0.9000030035168703,0.9000029991844108,0.9000029948667161,0.9000029905692128,0.9000030207504307,0.9000030162944433,0.9000030118580098,0.900003007437654,0.9000030030232052,0.900002998629582,0.9000029942695454,0.900002989935964,0.9000029856248716,0.9000029813292167,0.9000030070825571,0.9000030026457149,0.900002998219947,0.900002993820578,0.9000029894474405,0.900002985099841,0.9000029807722064,0.9000029764648095,0.9000029721755869,0.9000029934800652,0.9000029890786211,0.9000029846976645,0.900002980336543,0.9000029759950889,0.9000029716735513,0.9000029673717614,0.9000029630900783,0.900002980024561,0.9000029756500236,0.9000029712960123,0.9000029669610206,0.9000029626457602,0.9000029583501502,0.9000029540734525,0.9000029666691827,0.9000029623207927,0.9000029579921176,0.9000029536831284,0.9000029493937963,0.9000029451251572,0.900002953409618,0.9000029490870902,0.9000029447842965,0.900002940502273,0.9000029362415601,0.9000029402565973,0.9000029359606058,0.9000029316841699,0.9000029274281706,0.9000029272057347,0.9000029229369841,0.900002918688236,0.9000029141045799,0.9000029098585042,0.9000029012430089
5,0.9000034807542798,0.9000034731551544,0.9000034656154567,0.9000034581301116,0.9000034505694396,0.9000034431005628,0.9000034357837999,0.9000034286100225,0.9000034214706043,0.9000034143445931,0.9000034072818446,0.9000034557561679,0.9000034482385189,0.9000034407729863,0.9000034333575568,0.9000034259887422,0.9000034186673075,0.9000034114052483,0.9000034039843393,0.9000033968734257,0.900003389894876,0.9000034310605921,0.9000034236090502,0.9000034162049152,0.9000034088679606,0.9000034015898583,0.9000033943517957,0.9000033871657632,0.9000033800308653,0.9000033728795839,0.9000034066324396,0.9000033992514458,0.900003391923552,0.9000033846486845,0.9000033774263769,0.9000033702565373,0.9000033631388137,0.9000033560730369,0.9000033824613859,0.9000033751464843,0.9000033678853948,0.900003360676514,0.9000033535200539,0.900003346415669,0.9000033393623653,0.900003358564065,0.9000033513166046,0.9000033441269845,0.9000033369915618,0.9000033299072241,0.9000033228737647,0.900003334944334,0.9000033277705752,0.9000033206464987,0.900003313575437,0.9000033065673803,0.9000033115905195,0.9000033044838291,0.9000032974241808,0.9000032904058632,0.9000032884709971,0.9000032814315223,0.9000032744423099,0.9000032653812278,0.900003258411924,0.9000032429242792
6,0.9000038937669101,0.9000038821106121,0.9000038706075355,0.9000038592441146,0.9000038472611269,0.9000038360358338,0.9000038249783994,0.9000038140816289,0.9000038033085689,0.9000037926441011,0.9000037825690286,0.9000038529420786,0.9000038417389898,0.9000038304202009,0.9000038192155646,0.9000038081302101,0.9000037970859757,0.9000037861696104,0.9000037747313976,0.9000037640512284,0.900003754165108,0.9000038131898707,0.9000038020585285,0.9000037908625237,0.9000037796515007,0.9000037687220551,0.9000037578461629,0.9000037470787432,0.9000037364167607,0.9000037260321913,0.9000037741272177,0.9000037629733472,0.9000037519288345,0.900003740995109,0.9000037301716718,0.9000037194580528,0.9000037088537207,0.900003698357543,0.9000037355124655,0.900003724499552,0.9000037135966723,0.900003702803409,0.9000036921199276,0.9000036815458439,0.9000036710800263,0.9000036974878345,0.9000036866120337,0.9000036758588457,0.9000036652209296,0.900003654690148,0.9000036442643247,0.9000036600515432,0.9000036493334674,0.9000036387217357,0.9000036282217956,0.9000036178515189,0.9000036232083183,0.9000036126478278,0.9000036021866721,0.9000035918167982,0.900003586940035,0.9000035765082061,0.9000035661807105,0.9000035507701155,0.9000035404686453,0.9000035158518551
7,0.9000042921273469,0.9000042754811097,0.9000042590691703,0.9000042428974911,0.9000042261970718,0.9000042103847692,0.9000041948095914,0.9000041794748573,0.900004164355521,0.9000041494403938,0.9000041351780793,0.9000042313947038,0.9000042151433438,0.9000041990537886,0.900004183172564,0.9000041675109197,0.9000041519878196,0.9000041366807715,0.9000041209448972,0.9000041060604262,0.9000040919006208,0.9000041720496222,0.9000041560533543,0.9000041402198566,0.9000041245322381,0.9000041090979246,0.9000040938887884,0.9000040788819847,0.9000040640781527,0.9000040495271676,0.9000041137923467,0.9000040980262535,0.9000040824685646,0.9000040671156779,0.9000040519659513,0.9000040370182074,0.9000040222710528,0.9000040077244675,0.900004056272015,0.9000040407747159,0.9000040254914011,0.9000040104283512,0.9000039955640309,0.9000039808963377,0.9000039664252493,0.9000040003793298,0.9000039852041122,0.9000039702316164,0.9000039554515458,0.9000039408565784,0.9000039264259062,0.9000039457486047,0.9000039308168529,0.9000039160753074,0.9000039015326892,0.9000038870763442,0.9000038919888413,0.9000038773126685,0.900003862831139,0.9000038485438276,0.9000038394291662,0.9000038250158906,0.9000038107920659,0.9000037879706352,0.900003773797445,0.9000037373849445
8,0.9000046898689228,0.9000046671629047,0.9000046448227288,0.9000046228603426,0.9000046007000662,0.900004579383397,0.9000045585337205,0.9000045379540182,0.9000045177509814,0.9000044978723288,0.9000044786452324,0.9000046039733841,0.9000045818926415,0.9000045600632792,0.9000045385903975,0.9000045175396124,0.9000044967434151,0.9000044761916494,0.900004455614602,0.9000044358091956,0.9000044167171253,0.9000045204076949,0.9000044987343169,0.9000044773679445,0.9000044562678701,0.9000044356430691,0.9000044153220941,0.9000043953397621,0.9000043756956447,0.9000043564000172,0.9000044387614642,0.9000044175321441,0.9000043966459745,0.9000043760999287,0.9000043558917195,0.9000043360193719,0.9000043164808754,0.9000042972746097,0.9000043587846834,0.9000043380244399,0.9000043176062034,0.9000042975479693,0.9000042778054992,0.9000042583897309,0.900004239300588,0.9000042811858397,0.9000042609182619,0.9000042409773735,0.9000042213595131,0.9000042020597862,0.9000041830616513,0.9000042056010896,0.9000041857540573,0.9000041662292342,0.9000041470301352,0.9000041280737914,0.9000041317270278,0.9000041123059703,0.900004093201086,0.9000040743961352,0.9000040597414722,0.9000040407693845,0.9000040221035704,0.9000039896580709,0.9000039710879824,0.9000039211750878
9,0.9000050973684847,0.9000050672103947,0.9000050378386998,0.9000050090228418,0.9000049806156935,0.9000049527256286,0.9000049259590038,0.9000048993149631,0.90000487336901,0.9000048474713267,0.9000048227703198,0.9000049807502994,0.9000049516325531,0.9000049230763756,0.9000048949683142,0.9000048679912944,0.9000048411028551,0.9000048141005357,0.9000047883008908,0.9000047626968077,0.9000047381964504,0.90000486783171,0.9000048394544538,0.9000048116491877,0.9000047843573321,0.9000047578690754,0.9000047316447395,0.9000047059553719,0.9000046808009631,0.9000046558564353,0.9000047581087798,0.900004730510386,0.9000047034461599,0.9000046769114854,0.900004650902534,0.9000046254157645,0.9000046004476735,0.9000045759949835,0.9000046514653762,0.9000046246052342,0.9000045982719027,0.9000045725443326,0.9000045472625058,0.9000045224918711,0.9000044981712433,0.9000045482689447,0.900004522143151,0.9000044965354237,0.9000044714394374,0.9000044468298568,0.9000044227046214,0.9000044481184051,0.900004422687338,0.9000043977533386,0.9000043733180002,0.9000043493220509,0.9000043508594312,0.9000043261044505,0.9000043018383158,0.9000042780550948,0.900004256538005,0.9000042325148203,0.9000042088989567,0.9000041650644632,0.9000041416156875,0.9000040764594491
