BXM_proportion,OTV_proportion,ZNV_proportion,Vaccine_used,Antiviral_used,cumulative_incidence_Total,cumulative_incidence_Resistance,Hospitalization,Death_0_18,Death_19_64,Death_65,incidence_0_18,incidence_19_64,hos_19_64,AR,RAR,Hospitalization_rate_max,Drug_exhausted_day
0.0,0.0,1.0,2834909,1100002,1968955,856873,14518,0,41,32,351332,1261143,8390,0.2613,0.1137,0.9929,201.60112859436032
0.0,0.1,0.9,3075681,1100000,1695428,644355,11748,0,33,26,308521,1083093,6765,0.225,0.0855,0.9734,243.08363860894374
0.0,0.2,0.8,3104349,976751,1465127,477209,9806,0,27,21,271130,933740,5630,0.1945,0.0633,0.9586,500.0
0.0,0.3,0.7,3219734,855114,1282671,391821,8429,0,23,18,240600,815806,4827,0.1702,0.052,0.9483,500.0
0.0,0.4,0.6,3308587,770104,1155156,395593,7561,0,21,16,218768,733596,4322,0.1533,0.0525,0.9419,500.0
0.0,0.5,0.5,3379842,729895,1094843,487114,7262,0,20,15,208283,694727,4147,0.1453,0.0647,0.9393,500.0
0.0,0.6,0.4,3425870,741860,1112790,657668,7593,0,21,16,211373,706146,4337,0.1477,0.0873,0.9408,500.0
0.0,0.7,0.3,3391104,805723,1208584,887135,8543,0,24,18,227849,767655,4885,0.1604,0.1177,0.9466,500.0
0.0,0.8,0.2,3281160,910309,1365464,1147551,9985,0,28,22,254349,868736,5721,0.1812,0.1523,0.9568,500.0
0.0,0.9,0.1,3122792,1039493,1559239,1414597,11743,0,33,26,286272,994062,6745,0.207,0.1878,0.9707,500.0
0.0,1.0,0.0,2920804,1100005,1765188,1668841,13778,0,38,30,319291,1127791,7935,0.2343,0.2215,0.9876,229.45581491037478
0.1,0.0,0.9,3362269,881139,1321709,612884,9080,0,25,20,247002,840654,5202,0.1754,0.0813,0.9503,500.0
0.1,0.1,0.8,3559690,713942,1070913,413777,7113,0,20,15,203974,679189,4061,0.1421,0.0549,0.937,500.0
0.1,0.2,0.7,3683235,579491,869236,289194,5623,0,16,12,168164,549950,3201,0.1154,0.0384,0.9279,500.0
0.1,0.3,0.6,3754574,481054,721581,235763,4602,0,13,10,141226,455686,2614,0.0958,0.0313,0.922,500.0
0.1,0.4,0.5,3816163,419732,629599,243762,4024,0,11,8,124124,397107,2282,0.0836,0.0324,0.9187,500.0
0.1,0.5,0.4,3888169,398466,597699,306795,3898,0,11,8,118128,376776,2209,0.0793,0.0407,0.9177,500.0
0.1,0.6,0.3,3945023,421895,632843,423774,4267,0,12,9,124707,399015,2419,0.084,0.0562,0.9193,500.0
0.1,0.7,0.2,3926092,491071,736606,592062,5153,0,14,11,143935,464946,2926,0.0978,0.0786,0.9237,500.0
0.1,0.8,0.1,3816597,599077,898616,801167,6497,0,18,14,173334,568285,3697,0.1193,0.1063,0.9315,500.0
0.1,0.9,0.0,3635895,733262,1099894,1034900,8177,0,23,17,208846,697259,4667,0.146,0.1374,0.9423,500.0
0.2,0.0,0.8,3992190,471236,706855,334034,4674,0,13,10,138452,446099,2654,0.0938,0.0443,0.9212,500.0
0.2,0.1,0.7,4063567,346037,519055,206277,3323,0,9,7,103205,326824,1881,0.0689,0.0274,0.9145,500.0
0.2,0.2,0.6,4055483,260027,390040,140098,2444,0,7,5,78362,245203,1381,0.0518,0.0186,0.9104,500.0
0.2,0.3,0.5,4034469,204865,307298,115359,1911,0,5,4,62153,192990,1078,0.0408,0.0153,0.908,500.0
0.2,0.4,0.4,4053355,174400,261601,118714,1639,0,4,3,53105,164191,924,0.0347,0.0158,0.9067,500.0
0.2,0.5,0.3,4128086,167253,250880,147082,1610,0,4,3,50971,157412,907,0.0333,0.0195,0.9065,500.0
0.2,0.6,0.2,4234543,186346,279519,205592,1858,0,5,4,56655,175382,1047,0.0371,0.0273,0.9073,500.0
0.2,0.7,0.1,4303333,236757,355135,303294,2450,0,7,5,71535,222958,1382,0.0471,0.0403,0.9098,500.0
0.2,0.8,0.0,4269187,321651,482476,446509,3438,0,9,7,96176,303336,1943,0.064,0.0593,0.9142,500.0
0.3,0.0,0.7,4225596,183766,275649,136119,1753,0,5,4,55887,172993,988,0.0366,0.0181,0.907,500.0
0.3,0.1,0.6,4094747,128001,192002,86030,1192,0,3,2,39189,120403,672,0.0255,0.0114,0.9047,500.0
0.3,0.2,0.5,3986655,93984,140976,62259,865,0,2,2,28891,88369,487,0.0187,0.0083,0.9034,500.0
0.3,0.3,0.4,3921588,73273,109909,52185,673,0,2,1,22579,68881,379,0.0146,0.0069,0.9026,500.0
0.3,0.4,0.3,3901063,62102,93153,51119,575,0,2,1,19161,58371,324,0.0124,0.0068,0.9022,500.0
0.3,0.5,0.2,3976036,59699,89549,59049,565,0,2,1,18424,56100,318,0.0119,0.0078,0.9022,500.0
0.3,0.6,0.1,4134039,67709,101564,79467,663,0,2,1,20877,63606,373,0.0135,0.0105,0.9025,500.0
0.3,0.7,0.0,4302936,90320,135480,119477,917,0,2,2,27775,84827,516,0.018,0.0159,0.9034,500.0
0.4,0.0,0.6,3960845,65818,98727,58093,614,0,2,1,20297,61858,346,0.0131,0.0077,0.9024,500.0
0.4,0.1,0.5,3842508,47721,71581,41731,441,0,1,1,14746,44849,248,0.0095,0.0055,0.9017,500.0
0.4,0.2,0.4,3752373,36071,54106,32215,331,0,1,1,11160,33902,186,0.0072,0.0043,0.9013,500.0
0.4,0.3,0.3,3662834,28506,42759,26681,262,0,1,1,8827,26794,147,0.0057,0.0035,0.901,500.0
0.4,0.4,0.2,3613276,24037,36056,24208,222,0,1,0,7446,22596,125,0.0048,0.0032,0.9008,500.0
0.4,0.5,0.1,3642387,22499,33749,24975,210,0,1,0,6971,21148,118,0.0045,0.0033,0.9008,500.0
0.4,0.6,0.0,3784983,24485,36727,30194,235,0,1,0,7584,23005,132,0.0049,0.004,0.9009,500.0
0.5,0.0,0.5,3746591,29640,44460,33090,278,0,1,1,9176,27853,156,0.0059,0.0044,0.9011,500.0
0.5,0.1,0.4,3654746,22544,33815,25369,210,0,1,0,6984,21187,118,0.0045,0.0034,0.9008,500.0
0.5,0.2,0.3,3569789,17512,26268,19959,163,0,0,0,5428,16461,92,0.0035,0.0026,0.9006,500.0
0.5,0.3,0.2,3473310,13961,20941,16198,129,0,0,0,4329,13125,73,0.0028,0.0021,0.9005,500.0
0.5,0.4,0.1,3398894,11597,17396,13803,108,0,0,0,3597,10905,61,0.0023,0.0018,0.9004,500.0
0.5,0.5,0.0,3350335,10341,15512,12768,96,0,0,0,3207,9725,54,0.0021,0.0017,0.9004,500.0
0.6,0.0,0.4,3622771,17318,25977,22539,165,0,0,0,5368,16273,93,0.0034,0.003,0.9006,500.0
0.6,0.1,0.3,3533571,13507,20260,17632,128,0,0,0,4188,12694,72,0.0027,0.0023,0.9005,500.0
0.6,0.2,0.2,3440301,10647,15970,13943,100,0,0,0,3302,10008,57,0.0021,0.0019,0.9004,500.0
0.6,0.3,0.1,3352324,8512,12768,11191,80,0,0,0,2641,8003,45,0.0017,0.0015,0.9003,500.0
0.6,0.4,0.0,3256636,6968,10452,9212,65,0,0,0,2162,6553,37,0.0014,0.0012,0.9002,500.0
0.7,0.0,0.3,3522444,11946,17919,16733,115,0,0,0,3705,11225,65,0.0024,0.0022,0.9004,500.0
0.7,0.1,0.2,3438263,9430,14145,13203,90,0,0,0,2925,8863,51,0.0019,0.0018,0.9003,500.0
0.7,0.2,0.1,3340921,7491,11236,10479,71,0,0,0,2324,7041,40,0.0015,0.0014,0.9003,500.0
0.7,0.3,0.0,3243669,6001,9002,8388,57,0,0,0,1862,5643,32,0.0012,0.0011,0.9002,500.0
0.8,0.0,0.2,3442316,9012,13518,13034,87,0,0,0,2796,8468,49,0.0018,0.0017,0.9003,500.0
0.8,0.1,0.1,3344409,7163,10744,10342,69,0,0,0,2222,6732,39,0.0014,0.0014,0.9003,500.0
0.8,0.2,-0.0,3252592,5718,8578,8240,55,0,0,0,1775,5376,31,0.0011,0.0011,0.9002,500.0
0.9,0.0,0.1,3361461,7133,10700,10463,69,0,0,0,2213,6703,39,0.0014,0.0014,0.9003,500.0
0.9,0.1,-0.0,3257479,5697,8545,8340,55,0,0,0,1768,5354,31,0.0011,0.0011,0.9002,500.0
1.0,0.0,0.0,3281296,5805,8708,8571,57,0,0,0,1802,5456,32,0.0012,0.0011,0.9002,500.0
