BXM_proportion,OTV_proportion,ZNV_proportion,Vaccine_used,Antiviral_used,cumulative_incidence_Total,cumulative_incidence_Resistance,Hospitalization,Death_0_18,Death_19_64,Death_65,incidence_0_18,incidence_19_64,hos_19_64,AR,RAR,Hospitalization_rate_max,Direct_cost_Hospitalization,Direct_cost_GP_Consultation_Test_Antiviral,Direct_cost_Total,Indirect_cost,Total_cost,Total_QALY, qaly_negative , incre_cost , incre_qaly , icer , negative_situation ,inmb,WTP,"422,242"
0,0,1,2834909,1100002,1968955,856873,14518,0,41,32,351332,1261143,8390,0.2613,0.1137,0.9929,381414500,3516718240,3898132740,4907018375,8805151115,5040.502984," -5,041 "," 1,716,654,599 "," -1,073 ",-1599256.348,dominated," -2,169,892,550.53 ",,
0,0.1,0.9,3075681,1100000,1695428,644355,11748,0,33,26,308521,1083093,6765,0.225,0.0855,0.9734,308630500,3205033460,3513663960,4211694250,7725358210,4268.125029," -4,268 "," 636,861,694 ", -301 ,-2115608.224,dominated," -763,969,233.28 ",,
0,0.2,0.8,3104349,976751,1465127,477209,9806,0,27,21,271130,933740,5630,0.1945,0.0633,0.9586,257421000,2873936506,3131357506,3631445850,6762803356,3617.685143," -3,618 "," -325,693,160 ", 349 ,-932123.6724,dominating," 473,228,659.13 ",,
0,0.3,0.7,3219734,855114,1282671,391821,8429,0,23,18,240600,815806,4827,0.1702,0.052,0.9483,221233000,2632015126,2853248126,3176248475,6029496601,3145.539965," -3,146 "," 6,029,074,359 ", 822 ,7338613.252,dominated," -5,682,179,335.64 ",,
0,0.4,0.6,3308587,770104,1155156,395593,7561,0,21,16,218768,733596,4322,0.1533,0.0525,0.9419,198485000,2463589148,2662074148,2862816800,5524890948,2850.586628," -2,851 "," -1,563,605,568 "," 1,117 ",-1400442.367,dominating," 2,035,042,278.18 ",,
0,0.5,0.5,3379842,729895,1094843,487114,7262,0,20,15,208283,694727,4147,0.1453,0.0647,0.9393,190553500,2385992745,2576546245,2714534150,5291080395,2705.555258," -2,706 "," -1,797,416,121 "," 1,262 ",-1424779.673,dominating," 2,330,091,167.01 ",,
0,0.6,0.4,3425870,741860,1112790,657668,7593,0,21,16,211373,706146,4337,0.1477,0.0873,0.9408,199301000,2410055480,2609356480,2763390775,5372747255,2777.189388," -2,777 "," -1,715,749,261 "," 1,190 ",-1441920.522,dominating," 2,218,177,368.65 ",,
0,0.7,0.3,3391104,805723,1208584,887135,8543,0,24,18,227849,767655,4885,0.1604,0.1177,0.9466,224293500,2518109803,2742403303,3008331950,5750735253,3049.033372," -3,049 "," -1,337,761,263 ", 918 ,-1457158.521,dominating," 1,725,405,423.20 ",,
0,0.8,0.2,3281160,910309,1365464,1147551,9985,0,28,22,254349,868736,5721,0.1812,0.1523,0.9568,262292500,2686464576,2948757076,3403747225,6352504301,3464.059002," -3,464 "," -735,992,215 ", 503 ,-1463100.61,dominating," 948,395,123.35 ",,
0,0.9,0.1,3122792,1039493,1559239,1414597,11743,0,33,26,286272,994062,6745,0.207,0.1878,0.9707,308503000,2887792791,3196295791,3892200725,7088496516,3967.094958," -3,967 ", -   , -   ,-,-, - ,,
